set,source,type,boostercount,iconic,enchanted,epic,legendary,legendaryfoil,superrare,superrarefoil,rare,rarefoil,remarks
set12,Card Club,PreRelease Pack,6,0,0,0,2,0,3,1,0,0,No tracking of rare
set12,Card Club,PreRelease Pack,6,0,1,1,1,0,2,0,0,0,No tracking of rare
set12,Card Club,Trove,8,0,0,1,1,0,5,0,0,0,No tracking of rare
set12,Card Club,Trove,8,0,0,1,2,1,3,1,0,0,No tracking of rare
set12,Card Club,Sealed Case,24,0,0,3,5,1,11,1,0,0,Case 1
set12,Card Club,Sealed Case,24,0,0,2,7,0,10,1,0,0,Case 1
set12,Card Club,Sealed Case,24,0,1,2,6,1,10,1,0,0,Case 1
set12,Card Club,Sealed Case,24,0,0,2,6,1,12,0,0,0,Case 1
set12,Card Club,Sealed Case,24,0,1,2,6,1,11,0,0,0,Case 2
set12,Card Club,Sealed Case,24,0,0,3,6,1,11,2,0,0,Case 2
set12,Card Club,Sealed Case,24,1,0,0,5,1,10,2,0,0,Case 2
set12,Card Club,Sealed Case,24,0,0,3,6,0,12,1,0,0,Case 2
set12,Card Club,Sealed Case,24,0,1,0,7,1,9,1,0,0,Case 3
set12,Card Club,Sealed Case,24,0,0,2,5,1,11,2,0,0,Case 3
set12,Card Club,Sealed Case,24,0,0,3,7,0,12,1,0,0,Case 3
set12,Card Club,Sealed Case,24,0,0,2,6,0,11,1,0,0,Case 3
set12,Wizards Well,PreRelease Pack,6,0,0,0,1,0,3,0,0,0,
set12,Wizards Well,Trove,8,0,1,1,4,0,3,0,0,0,
set12,Wizards Well,Sealed Case,24,0,1,2,7,1,10,2,0,0,Case 1
set12,Wizards Well,Sealed Case,24,0,0,3,6,1,11,1,0,0,Case 1
set12,Wizards Well,Sealed Case,24,0,0,3,6,1,12,1,0,0,Case 1
set12,Wizards Well,Sealed Case,24,0,0,2,6,1,9,1,0,0,Case 1
set12,Wizards Well,Sealed Case,24,0,1,3,8,1,10,1,0,0,Case 2
set12,Wizards Well,Sealed Case,24,0,0,2,5,1,12,1,0,0,Case 2
set12,Wizards Well,Sealed Case,24,0,0,2,5,1,12,1,0,0,Case 2
set12,Wizards Well,Sealed Case,24,0,1,3,5,0,10,1,0,0,Case 2
set12,Mochi Cards,PreRelease Pack,6,0,0,0,1,0,5,0,0,0,
set12,Mochi Cards,PreRelease Pack,6,0,0,1,1,0,2,0,0,0,
set12,Mochi Cards,PreRelease Pack,6,0,0,1,2,0,1,1,0,0,
set12,Deckwerk,PreRelease Pack,6,0,0,1,2,1,6,1,0,0,
set12,Deckwerk,PreRelease Pack,6,0,0,0,1,0,2,0,0,0,
set12,Deckwerk,PreRelease Pack,6,0,0,1,1,0,2,1,0,0,
set12,Games Island,Sealed Case,24,0,1,2,6,1,10,2,0,0,Case 1
set12,Games Island,Sealed Case,24,0,0,2,7,1,10,2,0,0,Case 1
set12,Games Island,Sealed Case,24,0,1,3,6,0,11,2,0,0,Case 1
set13,Card Club,PreRelease Pack,6,0,0,1,1,0,2,1,9,0,
set13,Card Club,PreRelease Pack,6,0,0,0,1,0,3,0,9,1,
set13,Card Club,PreRelease Pack,6,0,0,1,1,1,2,1,9,1,
set13,Card Club,PreRelease Pack,6,0,0,0,1,0,2,0,9,1,
set13,Card Club,Single Booster,2,0,0,0,2,0,0,0,2,0,Price Booster
set13,Card Club,Single Booster,4,0,0,1,1,0,5,0,2,0,Price Booster
set13,Card Club,Trove,8,0,0,0,4,0,5,1,7,1,
set13,Card Club,Trove,8,0,0,0,2,0,2,0,12,2,
set13,Card Club,Display,24,1,0,2,7,0,11,1,31,4,
set13,Card Club,Sealed Case,24,0,0,2,7,1,10,1,31,4,Case 1
set13,Card Club,Sealed Case,24,0,1,2,5,0,12,0,35,2,Case 1
set13,Card Club,Sealed Case,24,0,0,3,7,0,11,2,31,4,Case 1
set13,Card Club,Sealed Case,24,0,1,2,5,0,10,1,33,5,Case 1
set13,Card Club,Sealed Case,24,0,1,2,6,1,11,2,31,4,Case 2
set13,Card Club,Sealed Case,24,0,0,3,5,1,10,1,33,4,Case 2
set13,Card Club,Sealed Case,24,0,0,2,6,1,10,2,32,4,Case 2
set13,Card Club,Sealed Case,24,0,0,3,5,0,11,1,33,3,Case 2
set13,Mochi Cards,PreRelease Pack,6,0,0,0,1,1,4,1,6,1,
set13,Mochi Cards,PreRelease Pack,6,0,0,1,1,0,4,0,7,1,
set13,Mochi Cards,PreRelease Pack,6,0,0,0,1,1,4,0,7,1,
set13,Mochi Cards,PreRelease Pack,6,0,0,0,1,0,3,0,8,2,
set13,Wizards Well,PreRelease Pack,6,0,0,0,3,0,2,1,6,1,
set13,Wizards Well,PreRelease Pack,6,0,0,1,0,0,3,0,9,0,
set13,Wizards Well,PreRelease Pack,6,0,0,0,2,0,4,0,6,1,
set13,Wizards Well,PreRelease Pack,6,0,0,0,4,0,1,0,7,1,
set13,Wizards Well,Sealed Case,24,0,0,2,5,1,10,2,31,4,Case 1
set13,Wizards Well,Sealed Case,24,0,0,2,8,1,11,1,29,5,Case 1
set13,Wizards Well,Sealed Case,24,0,1,3,5,1,11,2,31,4,Case 1
set13,Wizards Well,Sealed Case,24,0,0,3,5,0,9,0,37,4,Case 1
set13,Wizards Well,Sealed Case,24,0,1,2,6,1,10,2,32,5,Case 2
set13,Wizards Well,Sealed Case,24,0,1,2,5,1,10,1,32,4,Case 2
set13,Wizards Well,Sealed Case,24,0,0,2,8,1,12,2,31,5,Case 2
set13,Wizards Well,Sealed Case,24,0,0,3,7,0,10,2,31,4,Case 2
set13,Wizards Well,Trove,8,0,1,0,1,0,4,0,11,2,
