date_to,date_from,set,deck,deck_name,deck_link
2024-10-30,2024-08-25,set5,Amber Amethyst Hyper Aggro,Set 5.1 Amber Amethyst Hyper Aggro,https://dreamborn.ink/decks/auH827KByNXPKGsMPOUO
2024-08-25,2024-08-14,set5,Amber Amethyst Hyper Aggro,Set 5 Amber Amethyst Hyper Aggro,https://dreamborn.ink/decks/5nuRTEBWDI90NaewvE72
2024-10-30,2024-09-09,set5,Amber Emerald Discard,Set 5.3 Amber Emerald Discard,https://dreamborn.ink/decks/uXTgHn63GyMVaGJewGNz
2024-09-09,2024-09-02,set5,Amber Emerald Discard,Set 5.2 Amber Emerald Discard,https://dreamborn.ink/decks/VHasLAZhyzwNmeluWhi1
2024-09-02,2024-08-25,set5,Amber Emerald Discard,Set 5.1 Amber Emerald Discard,https://dreamborn.ink/decks/K5FImXanx6VoUA3Z9H3S
2024-08-25,2024-08-14,set5,Amber Emerald Discard,Set 5 Amber Emerald Discard,https://dreamborn.ink/decks/axnrzdcpFJME2C9JDENN
2024-10-30,2024-09-03,set5,Amber Steel Aggro,Set 5 Amber Steel Aggro,https://dreamborn.ink/decks/qF54OmUZqcVmvA1JpDXc
2024-10-30,2024-09-04,set5,Amber Steel Dwarfs,Set 5 Amber Steel Seven Dwarfs,https://dreamborn.ink/decks/b9VdfO0I9WAZWa8d7NQl
2024-10-30,2024-09-03,set5,Amber Steel Mufasa,Set 5 Amber Steel Mufasa,https://dreamborn.ink/decks/2VpLw1Yfedro0Vrvb6sU
2024-10-30,2024-08-21,set5,Amber Steel Songs,Set 5.1 Amber Steel Songs,https://dreamborn.ink/decks/CEXUx4vsymHH68A089j2
2024-08-21,2024-08-14,set5,Amber Steel Songs,Set 5 Amber Steel Songs,https://dreamborn.ink/decks/Ab0SvAXHkbIPEPKPSBXs
2024-10-30,2024-08-14,set5,Amethyst Emerald Aggro,Set 5 Amethyst Emerald Aggro,https://dreamborn.ink/decks/iKJq6QMYB6eOqPRM1wfe
2024-10-30,2024-09-12,set5,Amethyst Emerald Tempo,Set 5.5 Amethyst Emerald Tempo,https://dreamborn.ink/decks/5pisFI4Y6IW2y0BQUxVj
2024-09-12,2024-09-11,set5,Amethyst Emerald Tempo,Set 5.4 Amethyst Emerald Tempo,https://dreamborn.ink/decks/KjcwJrF63JhPglV6BN8o
2024-09-11,2024-09-09,set5,Amethyst Emerald Tempo,Set 5.3 Amethyst Emerald Tempo,https://dreamborn.ink/decks/MNnxrCwk66bhpgNxxFjU
2024-09-09,2024-09-05,set5,Amethyst Emerald Tempo,Set 5.2 Amethyst Emerald Tempo,https://dreamborn.ink/decks/tXKgBn5xsOXqCxGooSei
2024-09-05,2024-08-31,set5,Amethyst Emerald Tempo,Set 5.1 Amethyst Emerald Tempo,https://dreamborn.ink/decks/mAG66ZW7w2o2MlK9Lowy
2024-08-31,2024-08-27,set5,Amethyst Emerald Tempo,Set 5 Amethyst Emerald Tempo,https://dreamborn.ink/decks/UIgSj79A7oYm6C7De8Nl
2024-09-12,2024-08-14,set5,Amethyst Ruby Bounce,Set 5 Ruby Amethyst Control,https://dreamborn.ink/decks/7HOaNiGA5o6isWbemt90
2024-10-30,2024-09-12,set5,Amethyst Ruby Bounce,Set 5.1 Ruby Amethyst Control,https://dreamborn.ink/decks/KtA9EyWM11356zBwAEJq
2024-10-30,2024-09-12,set5,Amethyst Sapphire Blurple,Set 5.4 Amethyst Sapphire Midrange,https://dreamborn.ink/decks/m1oZb3gUTIazg2Vu1f6I
2024-09-12,2024-09-09,set5,Amethyst Sapphire Blurple,Set 5.3 Amethyst Sapphire Midrange,https://dreamborn.ink/decks/lFZJGFCapnPKpL0e0lpp
2024-09-09,2024-09-02,set5,Amethyst Sapphire Blurple,Set 5.2 Amethyst Sapphire Midrange,https://dreamborn.ink/decks/iZEzu7pVuo9BAJUKUmw9
