Deck,ColorCombination,Characteristic
Sealed,All,All
Draft,All,All
Amber Amethyst Hyper Aggro,Amber/Amethyst,Aggro
Amber Amethyst Madrigal,Amber/Amethyst,Combo
Amber Emerald Aggro,Amber/Emerald,Aggro
Amber Emerald Discard,Amber/Emerald,Discard
Amber Emerald Songs,Amber/Emerald,Discard
Amber Ruby Mufasa,Amber/Ruby,Midrange
Amber Ruby Locations,Amber/Ruby,Aggro
Amber Sapphire Healing,Amber/Sapphire,Combo
Amber Sapphire Mufasa,Amber/Sapphire,Combo
Amber Sapphire Princess,Amber/Sapphire,Aggro
Amber Sapphire Villains,Amber/Sapphire,Combo
Amber Steel Aggro,Amber/Steel,Aggro
Amber Steel Bodyguards,Amber/Steel,Midrange
Amber Steel Dwarfs,Amber/Steel,Combo
Amber Steel Locations,Amber/Steel,Midrange
Amber Steel Mufasa,Amber/Steel,Midrange
Amber Steel Songs,Amber/Steel,Control
Amethyst Emerald Aggro,Amethyst/Emerald,Aggro
Amethyst Emerald Tempo,Amethyst/Emerald,Midrange
Amethyst Sapphire Blurple,Amethyst/Sapphire,Control
Amethyst Steel Aggro,Amethyst/Steel,Aggro
Amethyst Steel Brooms,Amethyst/Steel,Combo
Amethyst Steel Jafar,Amethyst/Steel,Combo
Amethyst Steel Midrange,Amethyst/Steel,Midrange
Amethyst Steel Pete,Amethyst/Steel,Aggro
Amethyst Steel Locations,Amethyst/Steel,Aggro
Emerald Ruby Evasive,Emerald/Ruby,Aggro
Emerald Ruby Actions,Emerald/Ruby,Control
Emerald Ruby Starter,Emerald/Ruby,Aggro
Emerald Sapphire Clarabelle,Emerald/Sapphire,Midrange
Emerald Sapphire Discard,Emerald/Sapphire,Discard
Emerald Sapphire Mufasa,Emerald/Sapphire,Combo
Emerald Steel Aggro,Emerald/Steel,Aggro
Emerald Steel Beast,Emerald/Steel,Combo
Emerald Steel Damage,Emerald/Steel,Midrange
Emerald Steel Discard,Emerald/Steel,Discard
Emerald Steel Hercules,Emerald/Steel,Midrange
Emerald Steel Locations,Emerald/Steel,Combo
Emerald Steel Midrange,Emerald/Steel,Midrange
Emerald Steel Robin,Emerald/Steel,Midrange
Ruby Amethyst Evasive,Ruby/Amethyst,Midrange
Ruby Amethyst Bounce,Ruby/Amethyst,Control
Ruby Amethyst Burn,Ruby/Amethyst,Aggro
Ruby Amethyst Locations,Ruby/Amethyst,Midrange
Ruby Amethyst Wildmix,Ruby/Amethyst,Aggro
Ruby Sapphire Control,Ruby/Sapphire,Control
Ruby Steel Actions,Ruby/Steel,Midrange
Ruby Steel Challenger,Ruby/Steel,Midrange
Ruby Steel Knights,Ruby/Steel,Midrange
Ruby Steel Pirates,Ruby/Steel,Midrange
Ruby Steel Robin,Ruby/Steel,Control
Ruby Steel Wildmix,Ruby/Steel,Aggro
Sapphire Steel Aggro,Sapphire/Steel,Aggro
Sapphire Steel Damage,Sapphire/Steel,Midrange
Sapphire Steel Heroes,Sapphire/Steel,Midrange
Sapphire Steel Items,Sapphire/Steel,Midrange
Sapphire Steel Oswald,Sapphire/Steel,Combo
