Event,Player,PlayerDeck,Rank
Liga 2025-01-03,ChrC56,Amethyst Emerald Tempo,1st
Liga 2025-01-03,nastra,Amber Steel Songs,2nd
Liga 2025-01-03,Lillith555,Amber Steel Songs,3rd
Liga 2025-01-03,Alex8289,Amber Sapphire Princess,Top4
Liga 2025-01-03,4l3andr0,Amber Steel Songs,Top8
Liga 2025-01-03,keo,Amethyst Steel Midrange,Top8
Liga 2025-01-03,shinobi64,Ruby Sapphire Control,Top8
Liga 2025-01-03,Lorigon,Emerald Steel Beast,Top8
Liga 2025-01-03,Darksteel1,Ruby Sapphire Control,Top16
Liga 2025-01-03,Brudi,Ruby Amethyst Bounce,Top16
Liga 2025-01-03,ITFairy,Amethyst Emerald Tempo,Top16
Liga 2025-01-03,-Pierre-,Amethyst Sapphire Blurple,Top16
Multivitamin 2025 NY,Ronte,Ruby Sapphire Control,1st
Multivitamin 2025 NY,Missy2901,Ruby Sapphire Control,2nd
Multivitamin 2025 NY,AsiateSuessSauer,Ruby Amethyst Bounce,3rd
Multivitamin 2025 NY,MarsiDarsi09,Ruby Amethyst Bounce,Top4
Multivitamin 2025 NY,MrTom,Ruby Sapphire Control,Top8
Multivitamin 2025 NY,Jarl94,Emerald Steel Discard,Top8
Multivitamin 2025 NY,Samral,Emerald Sapphire Clarabelle,Top8
Multivitamin 2025 NY,mcmike82,Amber Steel Aggro,Top8
Multivitamin 2025 NY,FlorianW,Amethyst Steel Midrange,Top16
Multivitamin 2025 NY,SurferT50,Ruby Steel Pirates,Top16
Multivitamin 2025 NY,DoitsuKoitsu,Amber Steel Songs,Top16
Multivitamin 2025 NY,Luminator,Amethyst Steel Aggro,Top16
Multivitamin 2025 NY,MC_Cleopatrick,Sapphire Steel Items,Top16
Multivitamin 2025 NY,Leonard24,Ruby Sapphire Control,Top16
Multivitamin 2025 NY,TSR_RedEyesKeke,Ruby Amethyst Bounce,Top16
Multivitamin 2025 NY,K7_Naijul,Ruby Sapphire Control,Top16
Multivitamin 2025 NY,TSRJustMax,Ruby Amethyst Bounce,Top32
Multivitamin 2025 NY,NMI_TobiOas,Ruby Amethyst Burn,Top32
Multivitamin 2025 NY,Schatten,Amethyst Emerald Tempo,Top32
Multivitamin 2025 NY,Banapfel,Amber Sapphire Princess,Top32
Multivitamin 2025 NY,Darksteel1,Ruby Sapphire Control,Top32
Multivitamin 2025 NY,TCR_endyucation,Amber Steel Songs,Top32
Multivitamin 2025 NY,shinobi64,Ruby Sapphire Control,Top32
Multivitamin 2025 NY,NMI_Haertelus,Amethyst Emerald Tempo,Top32
Multivitamin 2025 NY,BarisF2,Ruby Amethyst Bounce,Top32
Multivitamin 2025 NY,Ketaro,Ruby Amethyst Bounce,Top32
Multivitamin 2025 NY,SarDestiny,Ruby Amethyst Bounce,Top32
Multivitamin 2025 NY,ItsaaaaB,Ruby Amethyst Bounce,Top32
Multivitamin 2025 NY,MayLegend,Ruby Sapphire Control,Top32
Multivitamin 2025 NY,Freakout,Ruby Sapphire Control,Top32
Multivitamin 2025 NY,K0rshy,Sapphire Steel Items,Top32
Multivitamin 2025 NY,AniW,Ruby Amethyst Bounce,Top32
Multivitamin 2025 NY,GG_Timtheus90,Ruby Amethyst Bounce,Top64
Multivitamin 2025 NY,TSR_Makoya,Ruby Amethyst Bounce,Top64
Multivitamin 2025 NY,Sirius83,Amber Steel Songs,Top64
Multivitamin 2025 NY,TotaHahnLorcana_Vladimiro,Amber Steel Songs,Top64
Multivitamin 2025 NY,MrMamille,Amber Steel Songs,Top64
Multivitamin 2025 NY,Petnein,Amber Steel Songs,Top64
Multivitamin 2025 NY,Tygo,Sapphire Steel Items,Top64
Multivitamin 2025 NY,TheGrumpyOne,Amethyst Sapphire Blurple,Top64
Multivitamin 2025 NY,Reagenzglasgeburt,Amethyst Emerald Tempo,Top64
Multivitamin 2025 NY,TCR_Dextr0niC,Amber Steel Songs,Top64
Multivitamin 2025 NY,NeteXX,Ruby Sapphire Control,Top64
Multivitamin 2025 NY,Hendrik,Amber Amethyst Hyper Aggro,Top64
Multivitamin 2025 NY,GG_ElMapache,Amethyst Emerald Tempo,Top64
Multivitamin 2025 NY,Tommydo0,Ruby Amethyst Bounce,Top64
Multivitamin 2025 NY,Mazinga86,Ruby Amethyst Bounce,Top64
Multivitamin 2025 NY,pwnTom,Amber Ruby Locations,Top64
Multivitamin 2025 NY,sKleene,Amethyst Emerald Tempo,Top64
Liga 2025-01-08,nastra,Amber Steel Aggro,1st
Liga 2025-01-08,shinobi64,Ruby Sapphire Control,2nd
Liga 2025-01-08,Dlawmor,Amber Emerald Aggro,3rd
Liga 2025-01-08,Darksteel1,Ruby Sapphire Control,Top4
Liga 2025-01-08,Putschi,Amber Steel Songs,Top8
Liga 2025-01-08,Jurki,Ruby Steel Challenger,Top8
Liga 2025-01-09,shinobi64,Ruby Sapphire Control,1st
Liga 2025-01-09,marblementos,Amber Steel Songs,2nd
Liga 2025-01-09,Alex8289,Amethyst Steel Midrange,Top4
Liga 2025-01-09,Hetti89,Emerald Sapphire Clarabelle,Top4
Liga 2025-01-09,Linlaen,Amethyst Steel Midrange,Top8
Liga 2025-01-09,Jurki,Ruby Steel Challenger,Top8
Liga 2025-01-09,-Pierre-,Amethyst Sapphire Blurple,Top8
Liga 2025-01-09,Al-ex,Amber Steel Songs,Top8
Liga 2025-01-09,Nanzu1991,Ruby Sapphire Control,Top16
Liga 2025-01-09,4l3andr0,Amber Steel Songs,Top16
Liga 2025-01-09,Tintenvorrat_Wooky,Ruby Sapphire Control,Top16
Liga 2025-01-09,GnF,Amber Steel Songs,Top16
Liga 2025-01-16,RoXion,Amber Steel Aggro,1st
Liga 2025-01-16,Lillith555,Amber Steel Songs,2nd
Liga 2025-01-16,keo,Amethyst Steel Midrange,3rd
Liga 2025-01-16,TabascoEye,Amethyst Emerald Tempo,Top4
Liga 2025-01-16,Lorigon,Amber Steel Locations,Top8
Liga 2025-01-16,Jurki,Amber Steel Songs,Top8
Liga 2025-01-16,shinobi64,Sapphire Steel Aggro,Top8
Liga 2025-01-16,Alex8289,Ruby Amethyst Bounce,Top8
Liga 2025-01-16,GnF,Amber Steel Songs,Top16
Liga 2025-01-16,ChrC56,Amethyst Emerald Tempo,Top16
Liga 2025-01-16,Brudi,Amber Steel Aggro,Top16
