Event,Date,Location,Meta,EventType,Type,PlayFormat,Melee
Wizards Into the Inklands Set Championship,2024-04-21,Wizards Well,Set3,Set Championship,Constructed,BestOfThree,https://melee.gg/Tournament/View/73553
Spiele-Pyramide Into the Inklands Set Championship,2024-04-24,Spiele-Pyramide,Set3,Set Championship,Constructed,BestOfThree,
Mana Zone TCG Into the Inklands Set Championship,2024-04-28,Mana Zone TCG,Set3,Set Championship,Constructed,BestOfThree,https://melee.gg/Tournament/View/86451
Lorcana DLC Lille,2024-05-25,Lille,Set3,Disney Lorcana Challenge,Constructed,TwoGameFormat,https://melee.gg/Tournament/View/76155
Lorcana DLC Lille Constructed Side,2024-05-26,Lille,Set3,Disney Lorcana Challenge Side,Constructed,TwoGameFormat,https://melee.gg/Tournament/View/98630
Liga 2024-05-29,2024-05-29,Wizards Well,Set4,Liga,Constructed,BestOfThree,https://melee.gg/Tournament/View/90657
Liga 2024-06-05,2024-06-05,Wizards Well,Set4,Liga,Draft,BestOfThree,https://melee.gg/Tournament/View/101252
Liga 2024-06-06,2024-06-06,Card Club Hockenheim,Set4,Liga,Constructed,BestOfThree,https://melee.gg/Tournament/View/103297
Casual 2024-06-12,2024-06-12,Wizards Well,Set4,Casual,Constructed,BestOfThree,
Liga 2024-06-13,2024-06-13,Card Club Hockenheim,Set4,Liga,Constructed,BestOfThree,https://melee.gg/Tournament/View/106876
Liga 2024-06-19,2024-06-19,Wizards Well,Set4,Liga,Draft,BestOfThree,https://melee.gg/Tournament/View/101255
Liga 2024-06-20,2024-06-20,Card Club Hockenheim,Set4,Liga,Constructed,BestOfThree,https://melee.gg/Tournament/View/110527
Liga 2024-06-27,2024-06-27,Card Club Hockenheim,Set4,Liga,Constructed,BestOfThree,https://melee.gg/Tournament/View/114206
Casual 2024-06-29,2024-06-29,Card Club Hockenheim,Set4,Casual,Constructed,TwoGameFormat,
Casual 2024-06-30,2024-06-30,Home,Set4,Casual,Constructed,BestOfThree,
Casual 2024-07-03,2024-07-03,Wizards Well,Set4,Casual,Constructed,BestOfThree,
Liga 2024-07-03,2024-07-03,Wizards Well,Set4,Liga,Constructed,BestOfThree,https://melee.gg/Tournament/View/115136
Lorcana DLC Bochum,2024-07-05,Bochum,Set4,Disney Lorcana Challenge,Constructed,TwoGameFormat,https://melee.gg/Tournament/View/116552
Lorcana DLC Bochum Side Sealed,2024-07-06,Bochum,Set4,Disney Lorcana Challenge Side,Sealed,BestOfThree,https://melee.gg/Tournament/View/116862
Lorcana DLC Bochum Side Constructed,2024-07-06,Bochum,Set4,Disney Lorcana Challenge Side,Constructed,BestOfThree,https://melee.gg/Tournament/View/116868
Liga 2024-07-11,2024-07-11,Card Club Hockenheim,Set4,Liga,Constructed,BestOfThree,https://melee.gg/Tournament/View/118931
Card Club Ursulas Return Set Championship,2024-07-13,Card Club Hockenheim,Set4,Set Championship,Constructed,BestOfThree,https://melee.gg/Tournament/View/106363
Wizards Ursulas Return Set Championship,2024-07-14,Wizards Well,Set4,Set Championship,Constructed,BestOfThree,https://melee.gg/Tournament/View/101274
Liga 2024-07-17,2024-07-17,Wizards Well,Set4,Liga,Constructed,BestOfThree,https://melee.gg/Tournament/View/117246
Liga 2024-07-18,2024-07-18,Card Club Hockenheim,Set4,Liga,Constructed,BestOfThree,https://melee.gg/Tournament/View/122206
JK Ursulas Return Set Championship,2024-07-20,JK Entertainment Darmstadt,Set4,Set Championship,Constructed,TwoGameFormat,https://melee.gg/Tournament/View/97509
Liga 2024-07-24,2024-07-24,Wizards Well,Set4,Liga,Draft,BestOfThree,https://melee.gg/Tournament/View/117247
Liga 2024-07-25,2024-07-25,Card Club Hockenheim,Set4,Liga,Constructed,BestOfThree,https://melee.gg/Tournament/View/123769
Neusser Ursulas Return Set Championship,2024-07-27,Spielwaren Neusser,Set4,Set Championship,Constructed,TwoGameFormat,https://melee.gg/Tournament/View/106793
Liga 2024-07-31,2024-07-31,Wizards Well,Set4,Liga,Constructed,BestOfThree,https://melee.gg/Tournament/View/117248
Liga 2024-08-01,2024-08-01,Card Club Hockenheim,Set4,Liga,Constructed,BestOfThree,https://melee.gg/Tournament/View/124976
Lorcana DLC Bologna,2024-08-03,Bologna,Set4,Disney Lorcana Challenge,Constructed,TwoGameFormat,https://melee.gg/Tournament/View/126763
Lorcana DLC Bologna Side Sealed,2024-08-04,Bologna,Set4,Disney Lorcana Challenge Side,Sealed,BestOfThree,https://melee.gg/Tournament/View/127373
Lorcana DLC Bologna Side Constructed,2024-08-04,Bologna,Set4,Disney Lorcana Challenge Side,Constructed,BestOfThree,https://melee.gg/Tournament/View/127377
Shimmering Skies Midnight PreRelease,2024-08-08,Card Club Hockenheim,Set5,Liga,Sealed,BestOfThree,https://melee.gg/Tournament/View/127617
Shimmering Skies Release,2024-08-10,Wizards Well,Set5,Liga,Sealed,BestOfThree,https://melee.gg/Tournament/View/129406
Casual 2024-08-28,2024-08-28,Wizards Well,Set5,Casual,Constructed,BestOfThree,
Liga 2024-08-28,2024-08-28,Wizards Well,Set5,Liga,Draft,BestOfThree,https://melee.gg/Tournament/View/129412
Casual 2024-08-29,2024-08-29,Card Club Hockenheim,Set5,Casual,Constructed,BestOfThree,
Liga 2024-08-29,2024-08-29,Card Club Hockenheim,Set5,Liga,Constructed,BestOfThree,https://melee.gg/Tournament/View/140049
Casual 2024-09-04,2024-09-04,Wizards Well,Set5,Casual,Constructed,TwoGameFormat,
