tournamentID,decklistID,cardName,cardCount,cardType
shimmering-skies-set-championship-tournament-decks-1659,deck-r-b-pegasus-306289,Develop Your Brain,4,action
shimmering-skies-set-championship-tournament-decks-1659,deck-r-b-pegasus-306289,Hide Away,1,action
shimmering-skies-set-championship-tournament-decks-1659,deck-r-b-pegasus-306289,Vision of the Future,4,action
shimmering-skies-set-championship-tournament-decks-1659,deck-r-b-pegasus-306289,Brawl,2,action
shimmering-skies-set-championship-tournament-decks-1659,deck-r-b-pegasus-306289,Ice Block,3,item
shimmering-skies-set-championship-tournament-decks-1659,deck-r-b-pegasus-306289,Pawpsicle,4,item
shimmering-skies-set-championship-tournament-decks-1659,deck-r-b-pegasus-306289,Fishbone Quill,4,item
shimmering-skies-set-championship-tournament-decks-1659,deck-r-b-pegasus-306289,Lucky Dime,2,item
shimmering-skies-set-championship-tournament-decks-1659,deck-r-b-pegasus-306289,Chicha - Dedicated Mother,2,character
shimmering-skies-set-championship-tournament-decks-1659,deck-r-b-pegasus-306289,Tipo - Growing Son,2,character
shimmering-skies-set-championship-tournament-decks-1659,deck-r-b-pegasus-306289,Sisu - Daring Visitor,3,character
shimmering-skies-set-championship-tournament-decks-1659,deck-r-b-pegasus-306289,Gramma Tala - Keeper of Ancient Stories,3,character
shimmering-skies-set-championship-tournament-decks-1659,deck-r-b-pegasus-306289,Hiram Flaversham - Toymaker,4,character
shimmering-skies-set-championship-tournament-decks-1659,deck-r-b-pegasus-306289,Maui - Hero to All,4,character
shimmering-skies-set-championship-tournament-decks-1659,deck-r-b-pegasus-306289,Kuzco - Selfish Emperor,2,character
shimmering-skies-set-championship-tournament-decks-1659,deck-r-b-pegasus-306289,Madame Medusa - The Boss,2,character
shimmering-skies-set-championship-tournament-decks-1659,deck-r-b-pegasus-306289,Sisu - Empowered Sibling,4,character
shimmering-skies-set-championship-tournament-decks-1659,deck-r-b-pegasus-306289,Tamatoa - So Shiny!,4,character
shimmering-skies-set-championship-tournament-decks-1659,deck-r-b-pegasus-306289,Maleficent - Monstrous Dragon,3,character
shimmering-skies-set-championship-tournament-decks-1659,deck-r-b-pegasus-306289,One Jump Ahead,2,song
shimmering-skies-set-championship-tournament-decks-1659,deck-r-b-pegasus-306289,Be Prepared,1,song
timmy-mac-s-shimmering-skies-set-champs-tournament-decks-1656,deck-redfasa-306023,Daisy Duck - Donald's Date,3,character
timmy-mac-s-shimmering-skies-set-champs-tournament-decks-1656,deck-redfasa-306023,Mulan - Injured Soldier,4,character
timmy-mac-s-shimmering-skies-set-champs-tournament-decks-1656,deck-redfasa-306023,Flynn Rider - Frenemy,2,character
timmy-mac-s-shimmering-skies-set-champs-tournament-decks-1656,deck-redfasa-306023,Mother Gothel - Withered and Wicked,4,character
timmy-mac-s-shimmering-skies-set-champs-tournament-decks-1656,deck-redfasa-306023,Doc - Leader of the Seven Dwarfs,2,character
timmy-mac-s-shimmering-skies-set-champs-tournament-decks-1656,deck-redfasa-306023,Gaston - Despicable Dealer,4,character
timmy-mac-s-shimmering-skies-set-champs-tournament-decks-1656,deck-redfasa-306023,Julieta Madrigal - Excellent Cook,4,character
timmy-mac-s-shimmering-skies-set-champs-tournament-decks-1656,deck-redfasa-306023,Sisu - Emboldened Warrior,4,character
timmy-mac-s-shimmering-skies-set-champs-tournament-decks-1656,deck-redfasa-306023,Goofy - Super Goof,3,character
timmy-mac-s-shimmering-skies-set-champs-tournament-decks-1656,deck-redfasa-306023,Rapunzel - Gifted with Healing,4,character
timmy-mac-s-shimmering-skies-set-champs-tournament-decks-1656,deck-redfasa-306023,Vanellope von Schweetz - Random Roster Racer,2,character
timmy-mac-s-shimmering-skies-set-champs-tournament-decks-1656,deck-redfasa-306023,Maui - Hero to All,4,character
timmy-mac-s-shimmering-skies-set-champs-tournament-decks-1656,deck-redfasa-306023,Mufasa - Betrayed Leader,4,character
timmy-mac-s-shimmering-skies-set-champs-tournament-decks-1656,deck-redfasa-306023,Hydra - Deadly Serpent,1,character
timmy-mac-s-shimmering-skies-set-champs-tournament-decks-1656,deck-redfasa-306023,Madame Medusa - The Boss,2,character
timmy-mac-s-shimmering-skies-set-champs-tournament-decks-1656,deck-redfasa-306023,Mulan - Elite Archer,2,character
timmy-mac-s-shimmering-skies-set-champs-tournament-decks-1656,deck-redfasa-306023,Stitch - Carefree Surfer,2,character
timmy-mac-s-shimmering-skies-set-champs-tournament-decks-1656,deck-redfasa-306023,Sisu - Empowered Sibling,2,character
timmy-mac-s-shimmering-skies-set-champs-tournament-decks-1656,deck-redfasa-306023,Maleficent - Monstrous Dragon,3,character
timmy-mac-s-shimmering-skies-set-champs-tournament-decks-1656,deck-redfasa-306023,Chernabog - Evildoer,1,character
timmy-mac-s-shimmering-skies-set-champs-tournament-decks-1656,deck-redfasa-306023,Invited to the Ball,2,action
timmy-mac-s-shimmering-skies-set-champs-tournament-decks-1656,deck-redfasa-306023,Teeth and Ambitions,2,song
timmy-mac-s-shimmering-skies-set-champs-tournament-decks-1656,deck-dc-steel-song-306442,Cinderella - Ballroom Sensation,4,character
timmy-mac-s-shimmering-skies-set-champs-tournament-decks-1656,deck-dc-steel-song-306442,Robin Hood - Beloved Outlaw,4,character
timmy-mac-s-shimmering-skies-set-champs-tournament-decks-1656,deck-dc-steel-song-306442,Mr. Smee - Bumbling Mate,4,character
timmy-mac-s-shimmering-skies-set-champs-tournament-decks-1656,deck-dc-steel-song-306442,Piglet - Pooh Pirate Captain,2,character
timmy-mac-s-shimmering-skies-set-champs-tournament-decks-1656,deck-dc-steel-song-306442,Ursula - Vanessa,2,character
timmy-mac-s-shimmering-skies-set-champs-tournament-decks-1656,deck-dc-steel-song-306442,Ariel - Spectacular Singer,4,character
timmy-mac-s-shimmering-skies-set-champs-tournament-decks-1656,deck-dc-steel-song-306442,Lawrence - Jealous Manservant,3,character
timmy-mac-s-shimmering-skies-set-champs-tournament-decks-1656,deck-dc-steel-song-306442,Pete - Games Referee,4,character
timmy-mac-s-shimmering-skies-set-champs-tournament-decks-1656,deck-dc-steel-song-306442,Prince Naveen - Ukulele Player,3,character
timmy-mac-s-shimmering-skies-set-champs-tournament-decks-1656,deck-dc-steel-song-306442,Rapunzel - Gifted with Healing,4,character
timmy-mac-s-shimmering-skies-set-champs-tournament-decks-1656,deck-dc-steel-song-306442,Robin Hood - Champion of Sherwood,4,character
timmy-mac-s-shimmering-skies-set-champs-tournament-decks-1656,deck-dc-steel-song-306442,Cinderella - Stouthearted,3,character
timmy-mac-s-shimmering-skies-set-champs-tournament-decks-1656,deck-dc-steel-song-306442,Lantern,2,item
timmy-mac-s-shimmering-skies-set-champs-tournament-decks-1656,deck-dc-steel-song-306442,The Bare Necessities,2,song
timmy-mac-s-shimmering-skies-set-champs-tournament-decks-1656,deck-dc-steel-song-306442,Let the Storm Rage On,4,song
timmy-mac-s-shimmering-skies-set-champs-tournament-decks-1656,deck-dc-steel-song-306442,Strength of a Raging Fire,4,song
timmy-mac-s-shimmering-skies-set-champs-tournament-decks-1656,deck-dc-steel-song-306442,And Then Along Came Zeus,3,song
timmy-mac-s-shimmering-skies-set-champs-tournament-decks-1656,deck-dc-steel-song-306442,A Whole New World,4,song
timmy-mac-s-shimmering-skies-set-champs-tournament-decks-1656,deck-dc-steel-song-306442,Grab Your Sword,1,song
timmy-mac-s-shimmering-skies-set-champs-tournament-decks-1656,deck-blue-steel-306441,Fire The Cannons!,2,action
timmy-mac-s-shimmering-skies-set-champs-tournament-decks-1656,deck-blue-steel-306441,Vision of the Future,2,action
timmy-mac-s-shimmering-skies-set-champs-tournament-decks-1656,deck-blue-steel-306441,Fortisphere,4,item
timmy-mac-s-shimmering-skies-set-champs-tournament-decks-1656,deck-blue-steel-306441,Pawpsicle,4,item
timmy-mac-s-shimmering-skies-set-champs-tournament-decks-1656,deck-blue-steel-306441,Fishbone Quill,4,item
timmy-mac-s-shimmering-skies-set-champs-tournament-decks-1656,deck-blue-steel-306441,Lucky Dime,2,item
timmy-mac-s-shimmering-skies-set-champs-tournament-decks-1656,deck-blue-steel-306441,Mr. Smee - Bumbling Mate,4,character
timmy-mac-s-shimmering-skies-set-champs-tournament-decks-1656,deck-blue-steel-306441,Tipo - Growing Son,4,character
timmy-mac-s-shimmering-skies-set-champs-tournament-decks-1656,deck-blue-steel-306441,Pete - Games Referee,3,character
timmy-mac-s-shimmering-skies-set-champs-tournament-decks-1656,deck-blue-steel-306441,Belle - Strange but Special,3,character
timmy-mac-s-shimmering-skies-set-champs-tournament-decks-1656,deck-blue-steel-306441,Hiram Flaversham - Toymaker,4,character
timmy-mac-s-shimmering-skies-set-champs-tournament-decks-1656,deck-blue-steel-306441,Audrey Ramirez - The Engineer,2,character
timmy-mac-s-shimmering-skies-set-champs-tournament-decks-1656,deck-blue-steel-306441,Cogsworth - Grandfather Clock,3,character
timmy-mac-s-shimmering-skies-set-champs-tournament-decks-1656,deck-blue-steel-306441,Ariel - Treasure Collector,2,character
timmy-mac-s-shimmering-skies-set-champs-tournament-decks-1656,deck-blue-steel-306441,Kuzco - Selfish Emperor,3,character
timmy-mac-s-shimmering-skies-set-champs-tournament-decks-1656,deck-blue-steel-306441,Tinker Bell - Giant Fairy,4,character
timmy-mac-s-shimmering-skies-set-champs-tournament-decks-1656,deck-blue-steel-306441,Hades - Infernal Schemer,3,character
timmy-mac-s-shimmering-skies-set-champs-tournament-decks-1656,deck-blue-steel-306441,Tamatoa - So Shiny!,3,character
timmy-mac-s-shimmering-skies-set-champs-tournament-decks-1656,deck-blue-steel-306441,A Whole New World,4,song
