tournamentID,decklistID,colorCombination,archeType,rank
jahresendevent-lorcana-meisterschaft-sonntag-tournament-decks-1894,deck-green-purple-385212,amethyst/emerald,Bounce,3rd
sunday-revival-north-american-championship-tournament-decks-1892,deck-steel-emerald-385101,emerald/steel,Discard,1st
sunday-revival-north-american-championship-tournament-decks-1892,deck-amber-steel-pride-385100,amber/steel,,Top8
sunday-revival-north-american-championship-tournament-decks-1892,deck-hyper-aggro-385105,amber/amethyst,Hyper Aggro,Top8
ccs-january-lorcana-1k-tournament-decks-1886,deck-sapphire-amethyst-384536,amethyst/sapphire,Bounce,Top4
ccs-january-lorcana-1k-tournament-decks-1886,deck-amber-steel-384557,amber/steel,Steelsong,Top4
ccs-january-lorcana-1k-tournament-decks-1886,deck-ruby-sapphire-384582,ruby/sapphire,Pawpsicles,Top4
ccs-january-lorcana-1k-tournament-decks-1886,deck-ruby-amethyst-384609,amethyst/ruby,Bounce Control,Top4
ccs-january-lorcana-1k-tournament-decks-1886,deck-emerald-amethyst-384515,amethyst/emerald,Bounce,Top8
ccs-january-lorcana-1k-tournament-decks-1886,deck-amber-steel-384516,amber/steel,Dwarf's Mine,Top8
ccs-january-lorcana-1k-tournament-decks-1886,deck-ruby-amethyst-384517,amethyst/ruby,Bounce Control,Top8
ccs-january-lorcana-1k-tournament-decks-1886,deck-emerald-amethyst-384518,amethyst/emerald,Bounce,Top8
mensual-enero-disney-lorcana-tournament-decks-1883,deck-bounce-384265,amethyst/steel,Aggro,1st
mensual-enero-disney-lorcana-tournament-decks-1883,deck-bounce-384266,amethyst/sapphire,Bounce,2nd
mensual-enero-disney-lorcana-tournament-decks-1883,deck-bounce-control-384267,amethyst/ruby,Bounce Control,3rd
mensual-enero-disney-lorcana-tournament-decks-1883,deck-claratala-384270,emerald/sapphire,,Top4
tournoi-njds-le-paquet-tournament-decks-1882,deck-ruby-sapphire-384041,ruby/sapphire,Pawpsicles,1st
tournoi-njds-le-paquet-tournament-decks-1882,deck-sapphire-steel-384044,sapphire/steel,No Wheel,2nd
tournoi-njds-le-paquet-tournament-decks-1882,deck-ruby-sapphire-384043,ruby/sapphire,Pawpsicles,3rd
tournoi-njds-le-paquet-tournament-decks-1882,deck-steel-amethyst-384039,amethyst/steel,Aggro,Top4
tournoi-njds-le-paquet-tournament-decks-1882,deck-sapphire-amethyst-384029,amethyst/sapphire,Bounce,Top8
tournoi-njds-le-paquet-tournament-decks-1882,deck-emerald-amethyst-384034,amethyst/emerald,Bounce,Top8
tournoi-njds-le-paquet-tournament-decks-1882,deck-steel-amethyst-384035,amethyst/steel,Aggro,Top8
tournoi-njds-le-paquet-tournament-decks-1882,deck-steel-amethyst-384037,amethyst/steel,Aggro,Top8
tournoi-njds-le-paquet-tournament-decks-1882,deck-amber-steel-384033,amber/steel,Dwarf's Mine,Top16
tournoi-njds-le-paquet-tournament-decks-1882,deck-steel-emerald-384032,emerald/steel,Discard,Top16
tournoi-njds-le-paquet-tournament-decks-1882,deck-ruby-sapphire-384031,ruby/sapphire,Pawpsicles,Top16
tournoi-njds-le-paquet-tournament-decks-1882,deck-ruby-sapphire-384030,ruby/sapphire,Pawpsicles,Top16
tournoi-njds-le-paquet-tournament-decks-1882,deck-steel-amethyst-384028,amethyst/steel,Aggro,Top16
tournoi-njds-le-paquet-tournament-decks-1882,deck-amber-steel-384027,amber/steel,,Top16
