tournamentID,tounamentDate,tournamentTitle,playerCount,playerCountCategory,country
1-nordlore-meisterschaften-tournament-decks-1710,2024-11-02,1. NordLore Meisterschaften,85,more than 64,DE
shimmering-skies-championship-tournament-decks-1709,2024-11-02,Shimmering Skies Championship,42,33 - 64,US
tournoi-lorcana-256-joueurs-ludotrotter-x-royaume-du-tcg-tournament-decks-1708,2024-11-02,Tournoi Lorcana 256 Joueurs - Ludotrotter x Royaume du TCG,183,more than 64,FR
timmy-mac-s-post-dlc-seattle-tournament-tournament-decks-1713,2024-11-01,Timmy Mac's Post DLC Seattle Tournament,18,17 - 32,US
road-to-lorcana-11-tournament-decks-1707,2024-11-01,Road To Lorcana 11,18,17 - 32,FR
championnat-lorcana-ciel-scintillant-tournament-decks-1712,2024-10-27,Championnat Lorcana : Ciel scintillant,16,0 - 16,FR
baseball-and-games-shimmering-skies-store-championship-tournament-decks-1706,2024-10-27,Baseball and Games Shimmering Skies Store Championship,18,17 - 32,US
shimmering-skies-championship-tournament-decks-1704,2024-10-27,Shimmering Skies Championship,17,17 - 32,GB
set-championship-saarbrucken-himmelsleuchten-battle-bear-tournament-decks-1703,2024-10-27,Set Championship Saarbrücken Himmelsleuchten Battle-Bear,20,17 - 32,DE
himmelsleuchten-set-meisterschaft-tournament-decks-1700,2024-10-27,Himmelsleuchten Set Meisterschaft,43,33 - 64,AT
store-championship-tournament-decks-1699,2024-10-27,Store Championship,60,33 - 64,ES
shimmering-skies-championship-tournament-decks-1698,2024-10-27,Shimmering Skies Championship!,10,0 - 16,PT
store-championship-tournament-decks-1695,2024-10-27,Store Championship,14,0 - 16,MX
championship-keiken-tournament-decks-1694,2024-10-27,Championship Keiken,26,17 - 32,ES
shimmering-skies-championship-v-ihrysku-tournament-decks-1693,2024-10-27,Shimmering Skies Championship v iHRYsku,34,33 - 64,SK
shimmering-skies-set-championship-dados-y-cubitos-tournament-decks-1692,2024-10-27,Shimmering Skies Set Championship Dados y Cubitos,14,0 - 16,ES
antre2jeu-set-championship-montpellier-tournament-decks-1689,2024-10-27,Antre2Jeu Set Championship (Montpellier),14,0 - 16,FR
shimmering-skies-set-championship-tournament-decks-1688,2024-10-27,Shimmering Skies Set Championship,18,17 - 32,US
disney-lorcana-challenge-seattle-tournament-decks-1686,2024-10-27,Disney Lorcana Challenge: Seattle,1893,more than 64,US
shimmering-skies-set-championship-2nd-women-s-cup-tournament-decks-1701,2024-10-26,Shimmering Skies - Set Championship - 2nd Women's Cup,13,0 - 16,AT
championnat-de-set-ciel-scintillant-tournament-decks-1697,2024-10-26,Championnat de Set : Ciel Scintillant,46,33 - 64,FR
shimmering-skies-set-championship-tournament-decks-1690,2024-10-26,Shimmering Skies Set Championship,17,17 - 32,CA
wcg-shimmering-skies-championship-tournament-decks-1685,2024-10-26,WCG Shimmering Skies Championship,10,0 - 16,US
road-to-lorcana-10-tournament-decks-1684,2024-10-26,Road To Lorcana 10,18,17 - 32,FR
shimmering-skies-set-championship-tournament-decks-1682,2024-10-26,Shimmering Skies - Set Championship,14,0 - 16,FR
shimmering-skies-championship-tournament-decks-1679,2024-10-26,Shimmering Skies Championship,23,17 - 32,PT
mulligan-challenge-16-tournament-decks-1683,2024-10-24,Mulligan Challenge #16,29,17 - 32,FR
shimmering-skies-championship-tournament-decks-1681,2024-10-20,Shimmering Skies Championship,8,0 - 16,US
shimmering-skies-set-championship-tournament-decks-1677,2024-10-20,Shimmering Skies - Set Championship,29,17 - 32,AT
shimmering-skies-set-championship-tournament-decks-1676,2024-10-20,Shimmering Skies - Set Championship,11,0 - 16,AT
dragon-world-store-shimmering-skies-championship-tournament-decks-1667,2024-10-20,Dragon World Store - Shimmering skies Championship,34,33 - 64,CZ
shimmering-skies-set-championship-tournament-decks-1659,2024-10-20,Shimmering Skies Set Championship,16,0 - 16,US
timmy-mac-s-shimmering-skies-set-champs-tournament-decks-1656,2024-10-20,Timmy Mac's Shimmering Skies Set Champs,17,17 - 32,US
set-championship-2-kaiserslautern-himmelsleuchten-battle-bear-tournament-decks-1655,2024-10-20,Set Championship 2 Kaiserslautern Himmelsleuchten Battle-Bear,15,0 - 16,DE
darkstore-championship-tournament-decks-1654,2024-10-20,DarkStore Championship,16,0 - 16,MX
shimmering-skies-set-championship-at-rad-lad-games-tournament-decks-1652,2024-10-20,Shimmering Skies Set Championship at Rad Lad Games,26,17 - 32,US
set-championships-tournament-decks-1651,2024-10-20,Set Championships,23,17 - 32,US
set-championship-shimmering-skies-tournament-decks-1650,2024-10-20,Set Championship Shimmering Skies,32,33 - 64,US
shimmering-skies-set-championship-crossroads-tournament-decks-1649,2024-10-20,Shimmering Skies Set Championship Crossroads,16,0 - 16,US
