date,tournamenttitle,players,playercategory,country,rank,archetype,color,top1,top2,top4,top8,top16,top32
2024-10-14,Busby's Lorcana Shimmering Skies Set Championship,29,17 - 32,US,1st,Discard Aggro,emerald/steel,1,0,0,0,0,0
2024-10-14,Busby's Lorcana Shimmering Skies Set Championship,29,17 - 32,US,2nd,Bodyguards,amber/steel,0,1,0,0,0,0
2024-10-14,Busby's Lorcana Shimmering Skies Set Championship,29,17 - 32,US,3rd,Sisu on Ice,ruby/sapphire,0,0,1,0,0,0
2024-10-14,Busby's Lorcana Shimmering Skies Set Championship,29,17 - 32,US,Top4,Bounce Control,amethyst/ruby,0,0,1,0,0,0
2024-10-14,Busby's Lorcana Shimmering Skies Set Championship,29,17 - 32,US,Top8,Bounce Control,amethyst/ruby,0,0,0,1,0,0
2024-10-14,Busby's Lorcana Shimmering Skies Set Championship,29,17 - 32,US,Top8,,amber/steel,0,0,0,1,0,0
2024-10-14,Busby's Lorcana Shimmering Skies Set Championship,29,17 - 32,US,Top8,Ramp Draw Control,amethyst/sapphire,0,0,0,1,0,0
2024-10-14,Busby's Lorcana Shimmering Skies Set Championship,29,17 - 32,US,Top8,Sisu on Ice,ruby/sapphire,0,0,0,1,0,0
2024-10-13,Lorcana Shimmering Skies Championship,17,17 - 32,US,1st,Steelsong,amber/steel,1,0,0,0,0,0
2024-10-13,Lorcana Shimmering Skies Championship,17,17 - 32,US,2nd,Aggro,amethyst/steel,0,1,0,0,0,0
2024-10-13,Lorcana Shimmering Skies Championship,17,17 - 32,US,3rd,Sisu on Ice,ruby/sapphire,0,0,1,0,0,0
2024-10-13,Lorcana Shimmering Skies Championship,17,17 - 32,US,Top4,Actions,emerald/steel,0,0,1,0,0,0
2024-10-13,Lorcana Shimmering Skies Championship,17,17 - 32,US,Top8,Discard Aggro,emerald/steel,0,0,0,1,0,0
2024-10-13,Lorcana Shimmering Skies Championship,17,17 - 32,US,Top8,Bounce,amber/amethyst,0,0,0,1,0,0
2024-10-13,Lorcana Shimmering Skies Championship,17,17 - 32,US,Top8,,amber/sapphire,0,0,0,1,0,0
2024-10-13,Lorcana Shimmering Skies Championship,17,17 - 32,US,Top8,,emerald/steel,0,0,0,1,0,0
2024-10-13,The Light Shimmering Skies Set Championship,24,17 - 32,US,1st,Sisu on Ice,ruby/sapphire,1,0,0,0,0,0
2024-10-13,The Light Shimmering Skies Set Championship,24,17 - 32,US,2nd,Discard,emerald/steel,0,1,0,0,0,0
2024-10-13,The Light Shimmering Skies Set Championship,24,17 - 32,US,Top4,,amber/steel,0,0,1,0,0,0
2024-10-13,The Light Shimmering Skies Set Championship,24,17 - 32,US,Top8,Classic Bounce,amethyst/steel,0,0,0,1,0,0
2024-10-13,The Light Shimmering Skies Set Championship,24,17 - 32,US,Top8,Sing & Shift,ruby/steel,0,0,0,1,0,0
2024-10-13,The Light Shimmering Skies Set Championship,24,17 - 32,US,Top8,Discard Aggro,emerald/steel,0,0,0,1,0,0
2024-10-13,The Light Shimmering Skies Set Championship,24,17 - 32,US,Top8,Sing & Shift,ruby/steel,0,0,0,1,0,0
2024-10-13,Championnat de set - Ciel Scintillant,23,17 - 32,FR,1st,Bounce,amber/amethyst,1,0,0,0,0,0
2024-10-13,Championnat de set - Ciel Scintillant,23,17 - 32,FR,2nd,Bounce Control,amethyst/ruby,0,1,0,0,0,0
2024-10-13,Championnat de set - Ciel Scintillant,23,17 - 32,FR,Top4,Steelsong,amber/steel,0,0,1,0,0,0
2024-10-13,Championnat de set - Ciel Scintillant,23,17 - 32,FR,Top4,Sisu on Ice,ruby/sapphire,0,0,1,0,0,0
2024-10-13,Championnat de set - Ciel Scintillant,23,17 - 32,FR,Top8,Sisu on Ice,ruby/sapphire,0,0,0,1,0,0
2024-10-13,Championnat de set - Ciel Scintillant,23,17 - 32,FR,Top8,,emerald/ruby,0,0,0,1,0,0
2024-10-13,Championnat de set - Ciel Scintillant,23,17 - 32,FR,Top8,Discard,emerald/steel,0,0,0,1,0,0
2024-10-13,Championnat de set - Ciel Scintillant,23,17 - 32,FR,Top8,Ramp Draw Control,amethyst/sapphire,0,0,0,1,0,0
2024-10-13,Championnat de Set 5 - Ciel Scintillant - Relic,30,17 - 32,FR,1st,Discard Aggro,emerald/steel,1,0,0,0,0,0
2024-10-13,Championnat de Set 5 - Ciel Scintillant - Relic,30,17 - 32,FR,2nd,Steelsong,amber/steel,0,1,0,0,0,0
2024-10-13,Championnat de Set 5 - Ciel Scintillant - Relic,30,17 - 32,FR,3rd,Steelsong,amber/steel,0,0,1,0,0,0
2024-10-13,Championnat de Set 5 - Ciel Scintillant - Relic,30,17 - 32,FR,Top4,Bounce,amethyst/emerald,0,0,1,0,0,0
2024-10-13,Championnat de Set 5 - Ciel Scintillant - Relic,30,17 - 32,FR,Top8,Bounce Control,amethyst/ruby,0,0,0,1,0,0
2024-10-13,Championnat de Set 5 - Ciel Scintillant - Relic,30,17 - 32,FR,Top8,Sisu on Ice,ruby/sapphire,0,0,0,1,0,0
2024-10-13,Championnat de Set 5 - Ciel Scintillant - Relic,30,17 - 32,FR,Top8,Bounce Control,amethyst/ruby,0,0,0,1,0,0
2024-10-13,Championnat de Set 5 - Ciel Scintillant - Relic,30,17 - 32,FR,Top8,Bounce,amethyst/emerald,0,0,0,1,0,0
2024-10-13,Shimmering Skies Store Championship,20,17 - 32,US,2nd,Discard,emerald/steel,0,1,0,0,0,0
2024-10-13,Shimmering Skies Store Championship,20,17 - 32,US,Top4,Bounce Control,amethyst/ruby,0,0,1,0,0,0
2024-10-13,Shimmering Skies Store Championship,20,17 - 32,US,Top8,Bounce Control,amethyst/ruby,0,0,0,1,0,0
2024-10-13,Shimmering Skies Store Championship,20,17 - 32,US,Top8,Bounce,amethyst/emerald,0,0,0,1,0,0
2024-10-13,Shimmering Skies Store Championship,20,17 - 32,US,Top8,Sing Together,amber/emerald,0,0,0,1,0,0
2024-10-13,Shimmering Skies Store Championship,20,17 - 32,US,Top8,Mufasa,amber/ruby,0,0,0,1,0,0
2024-10-13,DRAGONCT Shimmering Skies Championship,41,33 - 64,ES,1st,Bounce,amethyst/emerald,1,0,0,0,0,0
2024-10-13,DRAGONCT Shimmering Skies Championship,41,33 - 64,ES,2nd,Discard,emerald/steel,0,1,0,0,0,0
2024-10-13,DRAGONCT Shimmering Skies Championship,41,33 - 64,ES,3rd,Steelsong,amber/steel,0,0,1,0,0,0
2024-10-13,DRAGONCT Shimmering Skies Championship,41,33 - 64,ES,Top4,Bounce Control,amethyst/ruby,0,0,1,0,0,0
2024-10-13,DRAGONCT Shimmering Skies Championship,41,33 - 64,ES,Top8,Bounce Control,amethyst/ruby,0,0,0,1,0,0
2024-10-13,DRAGONCT Shimmering Skies Championship,41,33 - 64,ES,Top8,Discard Aggro,emerald/steel,0,0,0,1,0,0
2024-10-13,DRAGONCT Shimmering Skies Championship,41,33 - 64,ES,Top8,Cogsworth & Friends,sapphire/steel,0,0,0,1,0,0
2024-10-13,DRAGONCT Shimmering Skies Championship,41,33 - 64,ES,Top8,Bounce Control,amethyst/ruby,0,0,0,1,0,0
2024-10-13,Shimmering Skies Set Championship @ GameZenter,30,17 - 32,US,1st,Steelsong,amber/steel,1,0,0,0,0,0
2024-10-13,Shimmering Skies Set Championship @ GameZenter,30,17 - 32,US,2nd,Mufasa,amber/ruby,0,1,0,0,0,0
2024-10-13,Shimmering Skies Set Championship @ GameZenter,30,17 - 32,US,3rd,Bounce,amethyst/emerald,0,0,1,0,0,0
2024-10-13,Shimmering Skies Set Championship @ GameZenter,30,17 - 32,US,Top4,Sing & Shift,ruby/steel,0,0,1,0,0,0
2024-10-13,Shimmering Skies Set Championship @ GameZenter,30,17 - 32,US,Top8,Discard,emerald/steel,0,0,0,1,0,0
2024-10-13,Shimmering Skies Set Championship @ GameZenter,30,17 - 32,US,Top8,Sing Together,amber/emerald,0,0,0,1,0,0
2024-10-13,Shimmering Skies Set Championship @ GameZenter,30,17 - 32,US,Top8,Discard,emerald/steel,0,0,0,1,0,0
2024-10-13,Shimmering Skies Set Championship @ GameZenter,30,17 - 32,US,Top8,Bounce,amethyst/emerald,0,0,0,1,0,0
2024-10-13,Shimmering Skies Set Championship @ GameZenter,30,17 - 32,US,Top16,Ramp Draw Control,amethyst/sapphire,0,0,0,0,1,0
2024-10-13,Shimmering Skies Set Championship @ GameZenter,30,17 - 32,US,Top16,Sisu on Ice,ruby/sapphire,0,0,0,0,1,0
2024-10-13,Shimmering Skies Set Championship @ GameZenter,30,17 - 32,US,Top16,Steelsong,amber/steel,0,0,0,0,1,0
2024-10-13,Shimmering Skies Set Championship @ GameZenter,30,17 - 32,US,Top16,Steelsong,amber/steel,0,0,0,0,1,0
2024-10-13,Shimmering Skies Set Championship @ GameZenter,30,17 - 32,US,Top16,Ramp Draw Control,amethyst/sapphire,0,0,0,0,1,0
2024-10-13,Shimmering Skies Set Championship @ GameZenter,30,17 - 32,US,Top16,Bounce Control,amethyst/ruby,0,0,0,0,1,0
2024-10-13,Shimmering Skies Set Championship @ GameZenter,30,17 - 32,US,Top16,,sapphire/steel,0,0,0,0,1,0
