Event,Team,Round,Table,Pairing,Player,PlayerDeck,OpponentTeam,Opponent,OpponentDeck,Play/Draw
Qualification,TeamIconic,1,17,A,Netexx,Amethyst Sapphire,Der_Mushu_Clan,akaTJ,Amethyst Steel,Draw
Qualification,TeamIconic,1,17,B,Cinime,Sapphire Steel,Der_Mushu_Clan,K0rshy,Amethyst Sapphire,Play
Qualification,TeamIconic,1,17,C,Wyopi,Amethyst Steel,Der_Mushu_Clan,pwnTom,Amber Steel,Draw
Qualification,TeamIconic,1,17,D,Flügelschlägerin,Emerald Sapphire,Der_Mushu_Clan,iSunny,Amethyst Sapphire,Play
Qualification,TeamIconic,2,8,A,Wyopi,Amethyst Steel,Tintenlovers,TobiOas,Amber Steel,Draw
Qualification,TeamIconic,2,8,B,Cinime,Sapphire Steel,Tintenlovers,Phillip,Amethyst Emerald,Play
Qualification,TeamIconic,2,8,C,Miriam,Emerald Steel,Tintenlovers,Axty7,Amber Emerald,Draw
Qualification,TeamIconic,2,8,D,Netexx,Amethyst Sapphire,Tintenlovers,MaxPower,Amethyst Sapphire,Play
Qualification,TeamIconic,3,4,A,Cinime,Sapphire Steel,PlayingDucks,Nachtgeist,Amethyst Sapphire,Play
Qualification,TeamIconic,3,4,B,Miriam,Emerald Steel,PlayingDucks,Promisedland,Amethyst Sapphire,Draw
Qualification,TeamIconic,3,4,C,Flügelschlägerin,Emerald Sapphire,PlayingDucks,Nils,Amethyst Steel,Play
Qualification,TeamIconic,3,4,D,Netexx,Amethyst Sapphire,PlayingDucks,Haertelus,Amethyst Sapphire,Draw
Qualification,TeamIconic,4,9,A,Wyopi,Amethyst Steel,MROsGlimmerGang,Severin,Amber Steel,Draw
Qualification,TeamIconic,4,9,B,MbuziXenia,Amber Steel,MROsGlimmerGang,Maxing,Emerald Sapphire,Play
Qualification,TeamIconic,4,9,C,Miriam,Emerald Steel,MROsGlimmerGang,DanW15,Amber Emerald,Draw
Qualification,TeamIconic,4,9,D,Cinime,Sapphire Steel,MROsGlimmerGang,ZenTera,Amber Emerald,Play
Qualification,TeamIconic,5,14,A,Netexx,Amethyst Sapphire,BrothersInLore,KaijuManu,Emerald Sapphire,Draw
Qualification,TeamIconic,5,14,B,Flügelschlägerin,Emerald Sapphire,BrothersInLore,David99,Amber Steel,Play
Qualification,TeamIconic,5,14,C,Miriam,Emerald Steel,BrothersInLore,Pasqualitto,Amethyst Sapphire,Draw
Qualification,TeamIconic,5,14,D,Cinime,Sapphire Steel,BrothersInLore,Sascha,Emerald Steel,Play
Qualification,TeamIconic,6,14,A,Miriam,Emerald Steel,Lorekeepers,Bär,Amethyst Sapphire,Draw
Qualification,TeamIconic,6,14,B,Netexx,Amethyst Sapphire,Lorekeepers,Sturmgrim,Amethyst Emerald,Play
Qualification,TeamIconic,6,14,C,Wyopi,Amethyst Steel,Lorekeepers,BlaaaBonG,Amethyst Steel,Draw
Qualification,TeamIconic,6,14,D,Cinime,Sapphire Steel,Lorekeepers,Al-Dente,Amethyst Sapphire,Play
Qualification,TeamIconic,7,9,A,Wyopi,Amethyst Steel,TeamFreilos,Papierflieger,Emerald Sapphire,Draw
Qualification,TeamIconic,7,9,B,Netexx,Amethyst Sapphire,TeamFreilos,DerKoch,Emerald Steel,Play
Qualification,TeamIconic,7,9,C,Ruppi09,Amethyst Steel,TeamFreilos,Tunez,Amber Steel,Draw
Qualification,TeamIconic,7,9,D,Flügelschlägerin,Emerald Sapphire,TeamFreilos,Webster,Amethyst Sapphire,Play
Qualification,TeamIconic,8,5,A,Netexx,Amethyst Sapphire,BBB,TomTom,Amethyst Sapphire,Play
Qualification,TeamIconic,8,5,B,Ruppi09,Amethyst Steel,BBB,Breezy,Amber Steel,Draw
Qualification,TeamIconic,8,5,C,Cinime,Sapphire Steel,BBB,FabTricks,Amethyst Steel,Play
Qualification,TeamIconic,8,5,D,Wyopi,Amethyst Steel,BBB,Ina_Sts,Amber Steel,Draw
Qualification,TeamIconic,9,7,A,Netexx,Amethyst Sapphire,TeamTotaHahn,Royal,Amber Steel,Play
Qualification,TeamIconic,9,7,B,Flügelschlägerin,Emerald Sapphire,TeamTotaHahn,Carrie,Amethyst Steel,Draw
