Event,Season,Division,GameDay,Meta,EventType,Type,PlayFormat
Qualification,1,0,0,Set9,TeamLiga,Constructed,BestOfOne
Season1_Div1_Day1,1,1,1,Set9,TeamLiga,Constructed,BestOfOne
Season1_Div1_Day2,1,1,2,Set10,TeamLiga,Constructed,BestOfOne
Season1_Div1_Day3,1,1,3,Set10,TeamLiga,Constructed,BestOfOne
Season1_Div1_Day4,1,1,4,Set10,TeamLiga,Constructed,BestOfOne
Season1_Div1_Day5,1,1,5,Set10,TeamLiga,Constructed,BestOfOne
Season1_Div1_Day6,1,1,6,Set10,TeamLiga,Constructed,BestOfOne
Season1_Div1_Day7,1,1,7,Set10,TeamLiga,Constructed,BestOfOne
Season1_Div1_Day8,1,1,8,Set10,TeamLiga,Constructed,BestOfOne
Season1_Div1_Day9,1,1,9,Set10,TeamLiga,Constructed,BestOfOne
Season1_Div2_Day1,1,1,1,Set9,TeamLiga,Constructed,BestOfOne
Season1_Div2_Day2,1,1,2,Set10,TeamLiga,Constructed,BestOfOne
Season1_Div2_Day3,1,1,3,Set10,TeamLiga,Constructed,BestOfOne
Season1_Div2_Day4,1,1,4,Set10,TeamLiga,Constructed,BestOfOne
Season1_Div2_Day5,1,1,5,Set10,TeamLiga,Constructed,BestOfOne
Season1_Div2_Day6,1,1,6,Set10,TeamLiga,Constructed,BestOfOne
Season1_Div2_Day7,1,1,7,Set10,TeamLiga,Constructed,BestOfOne
Season1_Div2_Day8,1,1,8,Set10,TeamLiga,Constructed,BestOfOne
Season1_Div2_Day9,1,1,9,Set10,TeamLiga,Constructed,BestOfOne
