Event,Round,Table,Player,PlayerDeck,Opponent,OpponentDeck,Result
Liga 2025-01-03,1,1,ChrC56,Amethyst Emerald Tempo,-Pierre-,Amethyst Sapphire Blurple,Win
Liga 2025-01-03,1,1,-Pierre-,Amethyst Sapphire Blurple,ChrC56,Amethyst Emerald Tempo,Loss
Liga 2025-01-03,1,2,Brudi,Ruby Amethyst Bounce,nastra,Amber Steel Songs,Loss
Liga 2025-01-03,1,2,nastra,Amber Steel Songs,Brudi,Ruby Amethyst Bounce,Win
Liga 2025-01-03,1,3,keo,Amethyst Steel Midrange,shinobi64,Ruby Sapphire Control,Loss
Liga 2025-01-03,1,3,shinobi64,Ruby Sapphire Control,keo,Amethyst Steel Midrange,Win
Liga 2025-01-03,1,4,Darksteel1,Ruby Sapphire Control,Alex8289,Amber Sapphire Princess,Loss
Liga 2025-01-03,1,4,Alex8289,Amber Sapphire Princess,Darksteel1,Ruby Sapphire Control,Win
Liga 2025-01-03,1,5,Lillith555,Amber Steel Songs,ITFairy,Amethyst Emerald Tempo,Win
Liga 2025-01-03,1,5,ITFairy,Amethyst Emerald Tempo,Lillith555,Amber Steel Songs,Loss
Liga 2025-01-03,1,6,4l3andr0,Amber Steel Songs,Lorigon,Emerald Steel Beast,Win
Liga 2025-01-03,1,6,Lorigon,Emerald Steel Beast,4l3andr0,Amber Steel Songs,Loss
Liga 2025-01-03,2,1,shinobi64,Ruby Sapphire Control,ChrC56,Amethyst Emerald Tempo,Loss
Liga 2025-01-03,2,1,ChrC56,Amethyst Emerald Tempo,shinobi64,Ruby Sapphire Control,Win
Liga 2025-01-03,2,2,4l3andr0,Amber Steel Songs,Lillith555,Amber Steel Songs,Loss
Liga 2025-01-03,2,2,Lillith555,Amber Steel Songs,4l3andr0,Amber Steel Songs,Win
Liga 2025-01-03,2,3,nastra,Amber Steel Songs,Alex8289,Amber Sapphire Princess,Win
Liga 2025-01-03,2,3,Alex8289,Amber Sapphire Princess,nastra,Amber Steel Songs,Loss
Liga 2025-01-03,2,4,keo,Amethyst Steel Midrange,ITFairy,Amethyst Emerald Tempo,Win
Liga 2025-01-03,2,4,ITFairy,Amethyst Emerald Tempo,keo,Amethyst Steel Midrange,Loss
Liga 2025-01-03,2,5,-Pierre-,Amethyst Sapphire Blurple,Lorigon,Emerald Steel Beast,Loss
Liga 2025-01-03,2,5,Lorigon,Emerald Steel Beast,-Pierre-,Amethyst Sapphire Blurple,Win
Liga 2025-01-03,2,6,Brudi,Ruby Amethyst Bounce,Darksteel1,Ruby Sapphire Control,Loss
Liga 2025-01-03,2,6,Darksteel1,Ruby Sapphire Control,Brudi,Ruby Amethyst Bounce,Win
Liga 2025-01-03,3,1,ChrC56,Amethyst Emerald Tempo,Lillith555,Amber Steel Songs,Win
Liga 2025-01-03,3,1,Lillith555,Amber Steel Songs,ChrC56,Amethyst Emerald Tempo,Loss
