Event,Round,Table,Player,Opponent,Result
Liga 2025-01-03,1,1,ChrC56,-Pierre-,Player
Liga 2025-01-03,1,2,Brudi,nastra,Opponent
Liga 2025-01-03,1,3,keo,shinobi64,Opponent
Liga 2025-01-03,1,4,Darksteel1,Alex8289,Opponent
Liga 2025-01-03,1,5,Lillith555,ITFairy,Player
Liga 2025-01-03,1,6,4l3andr0,Lorigon,Player
Liga 2025-01-03,2,1,shinobi64,ChrC56,Opponent
Liga 2025-01-03,2,2,4l3andr0,Lillith555,Opponent
Liga 2025-01-03,2,3,nastra,Alex8289,Player
Liga 2025-01-03,2,4,keo,ITFairy,Player
Liga 2025-01-03,2,5,-Pierre-,Lorigon,Opponent
Liga 2025-01-03,2,6,Brudi,Darksteel1,Opponent
Liga 2025-01-03,3,1,ChrC56,Lillith555,Player
Liga 2025-01-03,3,2,nastra,Lorigon,Player
Liga 2025-01-03,3,3,keo,Darksteel1,Player
Liga 2025-01-03,3,4,shinobi64,4l3andr0,Opponent
Liga 2025-01-03,3,5,Alex8289,ITFairy,Player
Liga 2025-01-03,3,6,-Pierre-,Brudi,Opponent
Multivitamin 2025 NY,1,0,BarisF2,,Player
Multivitamin 2025 NY,1,1,Reagenzglasgeburt,sKleene,Player
Multivitamin 2025 NY,1,2,ItsaaaaB,MarsiDarsi09,Draw
Multivitamin 2025 NY,1,3,TheGrumpyOne,GG_ElMapache,Opponent
Multivitamin 2025 NY,1,4,Freakout,Petnein,Draw
Multivitamin 2025 NY,1,5,Leonard24,TCR_endyucation,Player
Multivitamin 2025 NY,1,6,TCR_Dextr0niC,Jarl94,Opponent
Multivitamin 2025 NY,1,7,AsiateSuessSauer,Tygo,Player
Multivitamin 2025 NY,1,8,Mazinga86,FlorianW,Opponent
Multivitamin 2025 NY,1,9,TSRJustMax,Samral,Draw
Multivitamin 2025 NY,1,10,Missy2901,TotaHahnLorcana_Vladimiro,Player
Multivitamin 2025 NY,1,11,MC_Cleopatrick,shinobi64,Opponent
Multivitamin 2025 NY,1,12,Ronte,NMI_TobiOas,Opponent
Multivitamin 2025 NY,1,13,pwnTom,mcmike82,Opponent
Multivitamin 2025 NY,1,14,SurferT50,Tommydo0,Player
Multivitamin 2025 NY,1,15,MrTom,TSR_Makoya,Player
Multivitamin 2025 NY,1,16,Luminator,Sirius83,Opponent
Multivitamin 2025 NY,1,17,GG_Timtheus90,AniW,Draw
Multivitamin 2025 NY,1,18,MrMamille,NeteXX,Opponent
Multivitamin 2025 NY,1,19,TSR_RedEyesKeke,SarDestiny,Player
Multivitamin 2025 NY,1,20,Schatten,DoitsuKoitsu,Player
Multivitamin 2025 NY,1,21,MayLegend,Ketaro,Draw
Multivitamin 2025 NY,1,22,K0rshy,Darksteel1,Opponent
Multivitamin 2025 NY,1,23,Banapfel,Hendrik,Opponent
Multivitamin 2025 NY,1,24,K7_Naijul,NMI_Haertelus,Player
Multivitamin 2025 NY,2,0,TCR_endyucation,,Player
Multivitamin 2025 NY,2,1,BarisF2,shinobi64,Draw
Multivitamin 2025 NY,2,2,AsiateSuessSauer,Reagenzglasgeburt,Player
Multivitamin 2025 NY,2,3,TSR_RedEyesKeke,SurferT50,Player
Multivitamin 2025 NY,2,4,Darksteel1,NMI_TobiOas,Opponent
Multivitamin 2025 NY,2,5,MrTom,FlorianW,Player
Multivitamin 2025 NY,2,6,GG_ElMapache,Jarl94,Opponent
Multivitamin 2025 NY,2,7,Missy2901,Sirius83,Player
Multivitamin 2025 NY,2,8,mcmike82,NeteXX,Player
Multivitamin 2025 NY,2,9,Hendrik,Schatten,Opponent
Multivitamin 2025 NY,2,10,Leonard24,K7_Naijul,Draw
Multivitamin 2025 NY,2,11,MarsiDarsi09,MayLegend,Player
Multivitamin 2025 NY,2,12,ItsaaaaB,AniW,Player
Multivitamin 2025 NY,2,13,TSRJustMax,Ketaro,Opponent
Multivitamin 2025 NY,2,14,Freakout,GG_Timtheus90,Player
Multivitamin 2025 NY,2,15,Samral,Petnein,Player
Multivitamin 2025 NY,2,16,TSR_Makoya,Ronte,Opponent
Multivitamin 2025 NY,2,17,Mazinga86,Luminator,Opponent
Multivitamin 2025 NY,2,18,TheGrumpyOne,SarDestiny,Draw
Multivitamin 2025 NY,2,19,sKleene,DoitsuKoitsu,,Opponent
Multivitamin 2025 NY,2,20,MC_Cleopatrick,MrMamille,Player
Multivitamin 2025 NY,2,21,TotaHahnLorcana_Vladimiro,K0rshy,Opponent
Multivitamin 2025 NY,2,22,NMI_Haertelus,Banapfel,Opponent
Multivitamin 2025 NY,2,23,Tommydo0,Tygo,Draw
Multivitamin 2025 NY,2,24,pwnTom,TCR_Dextr0niC,Opponent
Multivitamin 2025 NY,3,0,TSR_Makoya,,Player
Multivitamin 2025 NY,3,1,TSR_RedEyesKeke,Jarl94,Opponent
Multivitamin 2025 NY,3,2,AsiateSuessSauer,Missy2901,Opponent
Multivitamin 2025 NY,3,3,MrTom,Schatten,Player
Multivitamin 2025 NY,3,4,NMI_TobiOas,mcmike82,Opponent
Multivitamin 2025 NY,3,5,shinobi64,Ketaro,Draw
Multivitamin 2025 NY,3,6,MarsiDarsi09,Freakout,Draw
Multivitamin 2025 NY,3,7,Leonard24,Samral,Player
Multivitamin 2025 NY,3,8,ItsaaaaB,BarisF2,Player
Multivitamin 2025 NY,3,9,K7_Naijul,TCR_endyucation,Player
Multivitamin 2025 NY,3,10,DoitsuKoitsu,Hendrik,Player
Multivitamin 2025 NY,3,11,SurferT50,FlorianW,Player
Multivitamin 2025 NY,3,12,Luminator,GG_ElMapache,Player
Multivitamin 2025 NY,3,13,Darksteel1,NeteXX,Player
Multivitamin 2025 NY,3,14,Ronte,Reagenzglasgeburt,Player
Multivitamin 2025 NY,3,15,Sirius83,K0rshy,Opponent
Multivitamin 2025 NY,3,16,Banapfel,MC_Cleopatrick,Player
Multivitamin 2025 NY,3,17,TCR_Dextr0niC,MayLegend,Opponent
Multivitamin 2025 NY,3,18,Petnein,Tommydo0,Draw
Multivitamin 2025 NY,3,19,SarDestiny,GG_Timtheus90,Player
Multivitamin 2025 NY,3,20,AniW,TSRJustMax,Opponent
Multivitamin 2025 NY,3,21,Tygo,TheGrumpyOne,Opponent
